run_accession	study_accession	experiment_alias	fastq_ftp
SRR20011340	PRJNA856341	W8_SV4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/040/SRR20011340/SRR20011340_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/040/SRR20011340/SRR20011340_2.fastq.gz
SRR20011211	PRJNA856341	W2_SP3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/011/SRR20011211/SRR20011211_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/011/SRR20011211/SRR20011211_2.fastq.gz
SRR20011345	PRJNA856341	W8_PP7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/045/SRR20011345/SRR20011345_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/045/SRR20011345/SRR20011345_2.fastq.gz
SRR20011217	PRJNA856341	W2_SV4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/017/SRR20011217/SRR20011217_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/017/SRR20011217/SRR20011217_2.fastq.gz
SRR20011352	PRJNA856341	W8_PV7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/052/SRR20011352/SRR20011352_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/052/SRR20011352/SRR20011352_2.fastq.gz
SRR20011221	PRJNA856341	W2_PP7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/021/SRR20011221/SRR20011221_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/021/SRR20011221/SRR20011221_2.fastq.gz
SRR20011223	PRJNA856341	W2_PP5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/023/SRR20011223/SRR20011223_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/023/SRR20011223/SRR20011223_2.fastq.gz
SRR20011225	PRJNA856341	W0_NTC6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/025/SRR20011225/SRR20011225_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/025/SRR20011225/SRR20011225_2.fastq.gz
SRR20011226	PRJNA856341	W2_PP3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/026/SRR20011226/SRR20011226_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/026/SRR20011226/SRR20011226_2.fastq.gz
SRR20011228	PRJNA856341	W2_PP1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/028/SRR20011228/SRR20011228_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/028/SRR20011228/SRR20011228_2.fastq.gz
SRR20011237	PRJNA856341	W2_NTC7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/037/SRR20011237/SRR20011237_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/037/SRR20011237/SRR20011237_2.fastq.gz
SRR20011241	PRJNA856341	W2_NTC3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/041/SRR20011241/SRR20011241_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/041/SRR20011241/SRR20011241_2.fastq.gz
SRR20011244	PRJNA856341	W0_SP6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/044/SRR20011244/SRR20011244_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/044/SRR20011244/SRR20011244_2.fastq.gz
